Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
14.000	0.40000	14.289	0.069986	45.709	73.703	9.0035	3.1170	5.6442	221.22	1.7876	3.0052	0.022057	supercritical
14.100	0.40000	14.173	0.070558	46.044	74.267	9.0437	3.1170	5.6366	222.08	1.7687	3.0175	0.022143	supercritical
14.200	0.40000	14.059	0.071128	46.379	74.831	9.0835	3.1171	5.6293	222.94	1.7501	3.0296	0.022230	supercritical
14.300	0.40000	13.947	0.071698	46.714	75.393	9.1230	3.1171	5.6222	223.79	1.7318	3.0418	0.022315	supercritical
14.400	0.40000	13.838	0.072267	47.048	75.955	9.1621	3.1172	5.6152	224.64	1.7137	3.0540	0.022401	supercritical
14.500	0.40000	13.730	0.072836	47.382	76.516	9.2010	3.1172	5.6085	225.49	1.6960	3.0661	0.022487	supercritical
14.600	0.40000	13.623	0.073403	47.715	77.077	9.2395	3.1173	5.6019	226.33	1.6784	3.0782	0.022572	supercritical
14.700	0.40000	13.519	0.073970	48.049	77.637	9.2777	3.1173	5.5954	227.16	1.6612	3.0903	0.022657	supercritical
14.800	0.40000	13.416	0.074536	48.381	78.196	9.3156	3.1174	5.5892	227.99	1.6441	3.1024	0.022742	supercritical
14.900	0.40000	13.315	0.075101	48.714	78.754	9.3532	3.1174	5.5831	228.82	1.6274	3.1144	0.022827	supercritical
15.000	0.40000	13.216	0.075666	49.046	79.312	9.3906	3.1175	5.5771	229.64	1.6108	3.1265	0.022911	supercritical
15.100	0.40000	13.118	0.076230	49.378	79.870	9.4276	3.1175	5.5713	230.46	1.5945	3.1385	0.022996	supercritical
15.200	0.40000	13.022	0.076793	49.709	80.427	9.4643	3.1176	5.5656	231.28	1.5784	3.1505	0.023080	supercritical
15.300	0.40000	12.927	0.077356	50.041	80.983	9.5008	3.1176	5.5601	232.09	1.5626	3.1624	0.023164	supercritical
15.400	0.40000	12.834	0.077918	50.371	81.539	9.5370	3.1177	5.5547	232.90	1.5469	3.1744	0.023248	supercritical
15.500	0.40000	12.742	0.078480	50.702	82.094	9.5730	3.1177	5.5494	233.70	1.5315	3.1863	0.023332	supercritical
15.600	0.40000	12.652	0.079040	51.032	82.649	9.6086	3.1178	5.5442	234.51	1.5163	3.1982	0.023416	supercritical
15.700	0.40000	12.563	0.079601	51.362	83.203	9.6440	3.1178	5.5392	235.30	1.5012	3.2101	0.023499	supercritical
15.800	0.40000	12.475	0.080160	51.692	83.756	9.6792	3.1179	5.5343	236.10	1.4864	3.2219	0.023582	supercritical
15.900	0.40000	12.389	0.080720	52.022	84.310	9.7141	3.1179	5.5295	236.89	1.4718	3.2338	0.023665	supercritical
