Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
227.00	1.2000	2.5254	0.39597	712.56	1187.7	21.398	3.1198	5.1952	892.93	-0.61528	16.558	0.12956	supercritical
228.00	1.2000	2.5145	0.39770	715.68	1192.9	21.421	3.1198	5.1952	894.87	-0.61560	16.607	0.12994	supercritical
229.00	1.2000	2.5036	0.39943	718.80	1198.1	21.444	3.1198	5.1952	896.80	-0.61592	16.655	0.13033	supercritical
230.00	1.2000	2.4928	0.40116	721.92	1203.3	21.467	3.1198	5.1951	898.72	-0.61624	16.704	0.13072	supercritical
231.00	1.2000	2.4821	0.40289	725.04	1208.5	21.489	3.1198	5.1951	900.64	-0.61655	16.752	0.13111	supercritical
232.00	1.2000	2.4714	0.40462	728.16	1213.7	21.512	3.1197	5.1951	902.56	-0.61685	16.801	0.13150	supercritical
233.00	1.2000	2.4609	0.40635	731.28	1218.9	21.534	3.1197	5.1950	904.47	-0.61715	16.849	0.13188	supercritical
234.00	1.2000	2.4505	0.40808	734.40	1224.1	21.556	3.1197	5.1950	906.38	-0.61745	16.897	0.13227	supercritical
235.00	1.2000	2.4401	0.40981	737.51	1229.3	21.578	3.1197	5.1950	908.28	-0.61774	16.945	0.13265	supercritical
236.00	1.2000	2.4299	0.41154	740.63	1234.5	21.600	3.1197	5.1949	910.18	-0.61802	16.993	0.13304	supercritical
237.00	1.2000	2.4197	0.41327	743.75	1239.7	21.622	3.1197	5.1949	912.08	-0.61830	17.041	0.13342	supercritical
238.00	1.2000	2.4096	0.41500	746.87	1244.9	21.644	3.1196	5.1949	913.97	-0.61857	17.089	0.13381	supercritical
239.00	1.2000	2.3996	0.41673	749.99	1250.1	21.666	3.1196	5.1948	915.86	-0.61884	17.137	0.13419	supercritical
240.00	1.2000	2.3897	0.41846	753.11	1255.3	21.688	3.1196	5.1948	917.74	-0.61911	17.185	0.13457	supercritical
241.00	1.2000	2.3799	0.42019	756.23	1260.5	21.709	3.1196	5.1948	919.62	-0.61937	17.233	0.13496	supercritical
242.00	1.2000	2.3701	0.42192	759.35	1265.7	21.731	3.1196	5.1947	921.50	-0.61962	17.281	0.13534	supercritical
243.00	1.2000	2.3604	0.42365	762.46	1270.8	21.752	3.1196	5.1947	923.37	-0.61987	17.329	0.13572	supercritical
244.00	1.2000	2.3508	0.42538	765.58	1276.0	21.774	3.1196	5.1947	925.24	-0.62012	17.376	0.13610	supercritical
245.00	1.2000	2.3413	0.42711	768.70	1281.2	21.795	3.1195	5.1947	927.10	-0.62036	17.424	0.13648	supercritical
246.00	1.2000	2.3318	0.42884	771.82	1286.4	21.816	3.1195	5.1946	928.97	-0.62060	17.471	0.13686	supercritical
247.00	1.2000	2.3225	0.43058	774.94	1291.6	21.837	3.1195	5.1946	930.82	-0.62083	17.519	0.13724	supercritical
248.00	1.2000	2.3132	0.43231	778.06	1296.8	21.858	3.1195	5.1946	932.68	-0.62106	17.566	0.13762	supercritical
249.00	1.2000	2.3040	0.43404	781.17	1302.0	21.879	3.1195	5.1946	934.53	-0.62129	17.614	0.13800	supercritical
250.00	1.2000	2.2948	0.43577	784.29	1307.2	21.900	3.1195	5.1945	936.38	-0.62151	17.661	0.13838	supercritical
251.00	1.2000	2.2857	0.43750	787.41	1312.4	21.921	3.1194	5.1945	938.22	-0.62172	17.709	0.13876	supercritical
252.00	1.2000	2.2767	0.43923	790.53	1317.6	21.941	3.1194	5.1945	940.06	-0.62194	17.756	0.13913	supercritical
253.00	1.2000	2.2678	0.44096	793.65	1322.8	21.962	3.1194	5.1945	941.89	-0.62215	17.803	0.13951	supercritical
254.00	1.2000	2.2589	0.44269	796.77	1328.0	21.982	3.1194	5.1944	943.73	-0.62235	17.850	0.13989	supercritical
255.00	1.2000	2.2501	0.44442	799.88	1333.2	22.003	3.1194	5.1944	945.55	-0.62255	17.897	0.14026	supercritical
256.00	1.2000	2.2414	0.44615	803.00	1338.4	22.023	3.1194	5.1944	947.38	-0.62275	17.944	0.14064	supercritical
257.00	1.2000	2.2328	0.44788	806.12	1343.6	22.043	3.1194	5.1944	949.20	-0.62294	17.991	0.14102	supercritical
258.00	1.2000	2.2242	0.44961	809.24	1348.8	22.063	3.1193	5.1943	951.02	-0.62313	18.038	0.14139	supercritical
259.00	1.2000	2.2156	0.45134	812.36	1354.0	22.084	3.1193	5.1943	952.84	-0.62332	18.085	0.14177	supercritical
260.00	1.2000	2.2072	0.45307	815.48	1359.2	22.104	3.1193	5.1943	954.65	-0.62350	18.132	0.14214	supercritical
261.00	1.2000	2.1988	0.45480	818.59	1364.3	22.124	3.1193	5.1943	956.45	-0.62368	18.179	0.14251	supercritical
262.00	1.2000	2.1905	0.45653	821.71	1369.5	22.143	3.1193	5.1942	958.26	-0.62385	18.225	0.14289	supercritical
263.00	1.2000	2.1822	0.45826	824.83	1374.7	22.163	3.1193	5.1942	960.06	-0.62402	18.272	0.14326	supercritical
264.00	1.2000	2.1740	0.45999	827.95	1379.9	22.183	3.1193	5.1942	961.86	-0.62419	18.319	0.14363	supercritical
265.00	1.2000	2.1658	0.46172	831.07	1385.1	22.203	3.1192	5.1942	963.65	-0.62436	18.365	0.14400	supercritical
266.00	1.2000	2.1577	0.46345	834.18	1390.3	22.222	3.1192	5.1942	965.44	-0.62452	18.412	0.14438	supercritical
267.00	1.2000	2.1497	0.46518	837.30	1395.5	22.242	3.1192	5.1941	967.23	-0.62468	18.459	0.14475	supercritical
268.00	1.2000	2.1418	0.46691	840.42	1400.7	22.261	3.1192	5.1941	969.02	-0.62483	18.505	0.14512	supercritical
269.00	1.2000	2.1338	0.46864	843.54	1405.9	22.280	3.1192	5.1941	970.80	-0.62498	18.551	0.14549	supercritical
270.00	1.2000	2.1260	0.47037	846.66	1411.1	22.300	3.1192	5.1941	972.58	-0.62513	18.598	0.14586	supercritical
271.00	1.2000	2.1182	0.47210	849.77	1416.3	22.319	3.1192	5.1941	974.35	-0.62528	18.644	0.14623	supercritical
272.00	1.2000	2.1105	0.47383	852.89	1421.5	22.338	3.1191	5.1940	976.12	-0.62542	18.690	0.14660	supercritical
273.00	1.2000	2.1028	0.47556	856.01	1426.7	22.357	3.1191	5.1940	977.89	-0.62556	18.737	0.14697	supercritical
274.00	1.2000	2.0952	0.47729	859.13	1431.9	22.376	3.1191	5.1940	979.66	-0.62570	18.783	0.14734	supercritical
275.00	1.2000	2.0876	0.47902	862.25	1437.1	22.395	3.1191	5.1940	981.42	-0.62583	18.829	0.14771	supercritical
276.00	1.2000	2.0801	0.48075	865.36	1442.3	22.414	3.1191	5.1940	983.18	-0.62596	18.875	0.14807	supercritical
277.00	1.2000	2.0726	0.48248	868.48	1447.5	22.433	3.1191	5.1939	984.93	-0.62609	18.921	0.14844	supercritical
278.00	1.2000	2.0652	0.48421	871.60	1452.6	22.451	3.1191	5.1939	986.69	-0.62621	18.967	0.14881	supercritical
279.00	1.2000	2.0579	0.48594	874.72	1457.8	22.470	3.1191	5.1939	988.43	-0.62633	19.013	0.14917	supercritical
280.00	1.2000	2.0506	0.48767	877.84	1463.0	22.489	3.1190	5.1939	990.18	-0.62645	19.059	0.14954	supercritical
281.00	1.2000	2.0433	0.48940	880.95	1468.2	22.507	3.1190	5.1939	991.92	-0.62657	19.105	0.14991	supercritical
282.00	1.2000	2.0361	0.49113	884.07	1473.4	22.525	3.1190	5.1939	993.66	-0.62668	19.150	0.15027	supercritical
283.00	1.2000	2.0290	0.49286	887.19	1478.6	22.544	3.1190	5.1938	995.40	-0.62680	19.196	0.15064	supercritical
284.00	1.2000	2.0219	0.49459	890.31	1483.8	22.562	3.1190	5.1938	997.14	-0.62690	19.242	0.15100	supercritical
285.00	1.2000	2.0148	0.49632	893.42	1489.0	22.580	3.1190	5.1938	998.87	-0.62701	19.288	0.15137	supercritical
286.00	1.2000	2.0078	0.49805	896.54	1494.2	22.599	3.1190	5.1938	1000.6	-0.62711	19.333	0.15173	supercritical
287.00	1.2000	2.0009	0.49978	899.66	1499.4	22.617	3.1190	5.1938	1002.3	-0.62721	19.379	0.15209	supercritical
288.00	1.2000	1.9940	0.50151	902.78	1504.6	22.635	3.1190	5.1938	1004.0	-0.62731	19.424	0.15246	supercritical
289.00	1.2000	1.9871	0.50324	905.89	1509.8	22.653	3.1189	5.1937	1005.8	-0.62741	19.470	0.15282	supercritical
290.00	1.2000	1.9803	0.50497	909.01	1515.0	22.671	3.1189	5.1937	1007.5	-0.62750	19.515	0.15318	supercritical
291.00	1.2000	1.9736	0.50670	912.13	1520.2	22.689	3.1189	5.1937	1009.2	-0.62759	19.561	0.15355	supercritical
292.00	1.2000	1.9668	0.50843	915.25	1525.4	22.706	3.1189	5.1937	1010.9	-0.62768	19.606	0.15391	supercritical
293.00	1.2000	1.9602	0.51016	918.37	1530.6	22.724	3.1189	5.1937	1012.6	-0.62777	19.652	0.15427	supercritical
294.00	1.2000	1.9535	0.51189	921.48	1535.8	22.742	3.1189	5.1937	1014.3	-0.62785	19.697	0.15463	supercritical
295.00	1.2000	1.9470	0.51362	924.60	1540.9	22.760	3.1189	5.1937	1016.0	-0.62793	19.742	0.15499	supercritical
296.00	1.2000	1.9404	0.51535	927.72	1546.1	22.777	3.1189	5.1936	1017.7	-0.62801	19.787	0.15535	supercritical
297.00	1.2000	1.9339	0.51708	930.84	1551.3	22.795	3.1189	5.1936	1019.4	-0.62809	19.832	0.15571	supercritical
298.00	1.2000	1.9275	0.51881	933.95	1556.5	22.812	3.1188	5.1936	1021.1	-0.62816	19.878	0.15607	supercritical
299.00	1.2000	1.9211	0.52054	937.07	1561.7	22.829	3.1188	5.1936	1022.8	-0.62824	19.923	0.15643	supercritical
300.00	1.2000	1.9147	0.52227	940.19	1566.9	22.847	3.1188	5.1936	1024.5	-0.62831	19.968	0.15679	supercritical
301.00	1.2000	1.9084	0.52400	943.31	1572.1	22.864	3.1188	5.1936	1026.2	-0.62837	20.013	0.15715	supercritical
302.00	1.2000	1.9021	0.52573	946.42	1577.3	22.881	3.1188	5.1936	1027.9	-0.62844	20.058	0.15751	supercritical
303.00	1.2000	1.8959	0.52746	949.54	1582.5	22.899	3.1188	5.1936	1029.5	-0.62850	20.104	0.15786	supercritical
304.00	1.2000	1.8897	0.52919	952.66	1587.7	22.916	3.1188	5.1935	1031.2	-0.62857	20.149	0.15822	supercritical
305.00	1.2000	1.8835	0.53092	955.78	1592.9	22.933	3.1188	5.1935	1032.9	-0.62863	20.194	0.15858	supercritical
306.00	1.2000	1.8774	0.53265	958.89	1598.1	22.950	3.1188	5.1935	1034.6	-0.62868	20.239	0.15894	supercritical
307.00	1.2000	1.8713	0.53438	962.01	1603.3	22.967	3.1187	5.1935	1036.2	-0.62874	20.284	0.15929	supercritical
308.00	1.2000	1.8653	0.53611	965.13	1608.5	22.984	3.1187	5.1935	1037.9	-0.62880	20.329	0.15965	supercritical
309.00	1.2000	1.8593	0.53784	968.25	1613.7	23.000	3.1187	5.1935	1039.6	-0.62885	20.374	0.16000	supercritical
310.00	1.2000	1.8533	0.53957	971.36	1618.8	23.017	3.1187	5.1935	1041.2	-0.62890	20.419	0.16036	supercritical
311.00	1.2000	1.8474	0.54130	974.48	1624.0	23.034	3.1187	5.1935	1042.9	-0.62895	20.464	0.16072	supercritical
312.00	1.2000	1.8415	0.54303	977.60	1629.2	23.051	3.1187	5.1934	1044.5	-0.62899	20.509	0.16107	supercritical
313.00	1.2000	1.8357	0.54476	980.72	1634.4	23.067	3.1187	5.1934	1046.2	-0.62904	20.554	0.16143	supercritical
314.00	1.2000	1.8299	0.54649	983.83	1639.6	23.084	3.1187	5.1934	1047.8	-0.62908	20.598	0.16178	supercritical
315.00	1.2000	1.8241	0.54822	986.95	1644.8	23.100	3.1187	5.1934	1049.5	-0.62912	20.643	0.16213	supercritical
316.00	1.2000	1.8183	0.54995	990.07	1650.0	23.117	3.1187	5.1934	1051.1	-0.62916	20.688	0.16249	supercritical
317.00	1.2000	1.8126	0.55168	993.19	1655.2	23.133	3.1186	5.1934	1052.8	-0.62920	20.733	0.16284	supercritical
318.00	1.2000	1.8070	0.55341	996.30	1660.4	23.149	3.1186	5.1934	1054.4	-0.62923	20.777	0.16319	supercritical
319.00	1.2000	1.8013	0.55514	999.42	1665.6	23.166	3.1186	5.1934	1056.0	-0.62927	20.822	0.16355	supercritical
320.00	1.2000	1.7958	0.55687	1002.5	1670.8	23.182	3.1186	5.1934	1057.7	-0.62930	20.866	0.16390	supercritical
